k,model,larch,diff
4.150000000000000e0,-4.459099463761396e-2,-4.457573836426813e-2,-1.525627334583030e-5
4.200000000000000e0,-3.564337419179663e-2,-3.559125171731317e-2,-5.212247448346113e-5
4.250000000000000e0,-2.464484051915339e-2,-2.463226353660548e-2,-1.257698254791134e-5
4.300000000000000e0,-1.223998426142313e-2,-1.217229435385378e-2,-6.768990756935225e-5
4.350000000000001e0,1.258479713350642e-3,1.325784372530570e-3,-6.730465917992767e-5
4.400000000000000e0,1.531973427366163e-2,1.535716815824066e-2,-3.743388457902973e-5
4.450000000000000e0,2.937561194247524e-2,2.936615493296542e-2,9.457009509824393e-6
4.500000000000000e0,4.276758691916657e-2,4.274594134592042e-2,2.164557324615263e-5
4.550000000000000e0,5.486134223799236e-2,5.486448541991695e-2,-3.143181924583627e-6
4.600000000000001e0,6.510426843852829e-2,6.512292880250635e-2,-1.866036397805970e-5
4.650000000000000e0,7.296601970777372e-2,7.298261099723956e-2,-1.659128946583655e-5
4.700000000000000e0,7.787296452534598e-2,7.797359943831612e-2,-1.006349129701462e-4
4.750000000000000e0,7.956504249161518e-2,7.970604884231750e-2,-1.410063507023135e-4
4.800000000000001e0,7.783443000099062e-2,7.792979811745450e-2,-9.536811646387866e-5
4.850000000000001e0,7.254398825044242e-2,7.256811010372075e-2,-2.412185327832495e-5
4.900000000000000e0,6.368062985150964e-2,6.374292834357240e-2,-6.229849206275395e-5
4.950000000000000e0,5.172362183588739e-2,5.176424792215213e-2,-4.062608626474035e-5
5.000000000000000e0,3.707744159680799e-2,3.708679445097439e-2,-9.352854166401470e-6
5.050000000000001e0,2.026692238191084e-2,2.028890202940853e-2,-2.197964749768577e-5
5.100000000000001e0,1.952170816148651e-3,2.043620105910488e-3,-9.144928976183731e-5
5.150000000000000e0,-1.700989579757915e-2,-1.689608707626589e-2,-1.138087213132660e-4
5.200000000000000e0,-3.575983219198860e-2,-3.569114462319386e-2,-6.868756879474525e-5
5.250000000000000e0,-5.344184920049206e-2,-5.343881363381126e-2,-3.035566680804902e-6
5.300000000000001e0,-6.914433162747530e-2,-6.918674245826684e-2,4.241083079153940e-5
5.350000000000001e0,-8.189801064278987e-2,-8.199176590436191e-2,9.375526157204273e-5
5.400000000000000e0,-9.097560237245129e-2,-9.104752414147881e-2,7.192176902751091e-5
5.450000000000000e0,-9.573981344784095e-2,-9.576293313974685e-2,2.311969190589569e-5
5.500000000000000e0,-9.577002699560939e-2,-9.582510348764021e-2,5.507649203081999e-5
5.550000000000001e0,-9.111580576560233e-2,-9.117747200460113e-2,6.166623899880874e-5
5.600000000000001e0,-8.191570551860239e-2,-8.196131420674235e-2,4.560868813996422e-5
5.650000000000000e0,-6.846819447300656e-2,-6.850780851480594e-2,3.961404179937678e-5
5.700000000000000e0,-5.125253392504378e-2,-5.136344085249149e-2,1.109069274477098e-4
5.750000000000000e0,-3.124941797138702e-2,-3.134786704913027e-2,9.844907774324979e-5
5.800000000000001e0,-9.484780366745851e-3,-9.517892503830238e-3,3.311213708438732e-5
5.850000000000001e0,1.288776165058020e-2,1.290790471926332e-2,-2.014306868311673e-5
5.900000000000000e0,3.462018491047508e-2,3.467740318976290e-2,-5.721827928781287e-5
5.950000000000000e0,5.456082925429497e-2,5.462173699974320e-2,-6.090774544822986e-5
6.000000000000000e0,7.165377289203903e-2,7.168550683085380e-2,-3.173393881476805e-5
6.050000000000001e0,8.496068340951762e-2,8.497689966557199e-2,-1.621625605437160e-5
6.100000000000001e0,9.369973095049633e-2,9.380451620196921e-2,-1.047852514728803e-4
6.150000000000000e0,9.748997583644371e-2,9.771826242502329e-2,-2.282865885795821e-4
6.200000000000000e0,9.620275218884232e-2,9.655034700885455e-2,-3.475948200122314e-4
6.250000000000000e0,8.999378465965795e-2,9.042444162599965e-2,-4.306569663417026e-4
6.300000000000001e0,7.928785513747602e-2,7.974471058205626e-2,-4.568554445802397e-4
6.350000000000001e0,6.474714116072529e-2,6.516667031937531e-2,-4.195291586500255e-4
6.400000000000000e0,4.722583387501166e-2,4.755225752158828e-2,-3.264236465766179e-4
6.450000000000000e0,2.771454459319589e-2,2.791264198559455e-2,-1.980973923986634e-4
6.500000000000000e0,7.278606333014379e-3,7.343161939455978e-3,-6.455560644159919e-5
6.550000000000001e0,-1.306788312275481e-2,-1.304480497806292e-2,-2.307814469189144e-5
6.600000000000001e0,-3.221906061939370e-2,-3.219083999017847e-2,-2.822062921522400e-5
6.650000000000000e0,-4.912854153331825e-2,-4.914553666907882e-2,1.699513576057521e-5
6.700000000000000e0,-6.302982568606752e-2,-6.311887298760602e-2,8.904730153849738e-5
6.750000000000000e0,-7.335243896455468e-2,-7.351619187007080e-2,1.637529055161235e-4
6.800000000000001e0,-7.974006304182819e-2,-7.995986094812153e-2,2.197979062933397e-4
6.850000000000001e0,-8.205476651784185e-2,-8.229629580956938e-2,2.415292917275214e-4
6.900000000000000e0,-8.036842156988430e-2,-8.058919906344893e-2,2.207774935646251e-4
6.950000000000000e0,-7.494320365898834e-2,-7.510081705469535e-2,1.576133957070097e-4
7.000000000000000e0,-6.620364227331556e-2,-6.626371511773414e-2,6.007284441858496e-5
7.050000000000001e0,-5.459940946338553e-2,-5.464597211380164e-2,4.656265041611679e-5
7.100000000000001e0,-4.079147483571333e-2,-4.091261535907783e-2,1.211405233644963e-4
7.150000000000000e0,-2.562561221099070e-2,-2.578621339315133e-2,1.606011821606301e-4
7.200000000000000e0,-9.843917660161627e-3,-1.000961466334053e-2,1.656970031789044e-4
7.250000000000000e0,5.829932063587435e-3,5.687694874403858e-3,1.422371891835767e-4
7.300000000000001e0,2.071835821673546e-2,2.061852607306291e-2,9.983214367255064e-5
7.350000000000001e0,3.421216022441310e-2,3.416169392849584e-2,5.046629591726193e-5
7.400000000000000e0,4.578754733005702e-2,4.578052771482832e-2,7.019615228698317e-6
7.450000000000000e0,5.501845248403645e-2,5.503661933270341e-2,-1.816684866696311e-5
7.500000000000000e0,6.158486823272165e-2,6.159947819025628e-2,-1.460995753462674e-5
7.550000000000001e0,6.524267464136155e-2,6.525281269187035e-2,-1.013805050879835e-5
7.600000000000001e0,6.585210256250768e-2,6.589806180341043e-2,-4.595924090275427e-5
7.650000000000000e0,6.346373520351814e-2,6.355572798545993e-2,-9.199278194178817e-5
7.700000000000000e0,5.822829208897003e-2,5.836432872040654e-2,-1.360366314365064e-4
7.750000000000000e0,5.040877079809791e-2,5.057668810277387e-2,-1.679173046759616e-4
7.800000000000001e0,4.037277531875717e-2,4.055322392412655e-2,-1.804486053693793e-4
7.850000000000001e0,2.858153591566781e-2,2.875166014355713e-2,-1.701242278893123e-4
7.900000000000000e0,1.557511483119511e-2,1.571260818020697e-2,-1.374933490118600e-4
7.950000000000000e0,1.953458858162302e-3,2.040635690074977e-3,-8.717683191267417e-5
8.000000000000000e0,-1.164673142735089e-2,-1.161923358825463e-2,-2.749783909626602e-5
8.050000000000001e0,-2.462961146047463e-2,-2.460916373588093e-2,-2.044772459370084e-5
8.100000000000000e0,-3.632848048783674e-2,-3.628880069227626e-2,-3.967979556047940e-5
8.150000000000000e0,-4.610637796099417e-2,-4.606846109828023e-2,-3.791686271394090e-5
8.200000000000001e0,-5.346447037269439e-2,-5.344319014553962e-2,-2.128022715476574e-5
8.250000000000000e0,-5.802144090527036e-2,-5.802394625834032e-2,2.505353069962024e-6
8.300000000000001e0,-5.953846857148080e-2,-5.956400130884991e-2,2.553273736910500e-5
8.350000000000000e0,-5.793719855001068e-2,-5.797824662570020e-2,4.104807568951901e-5
8.400000000000000e0,-5.330888128343401e-2,-5.335341712962859e-2,4.453584619457107e-5
8.450000000000001e0,-4.591340262336865e-2,-4.594781832001561e-2,3.441569664695832e-5
8.500000000000000e0,-3.616763733612088e-2,-3.617989765830226e-2,1.226032218137191e-5
8.550000000000001e0,-2.459530048931392e-2,-2.460583248218271e-2,1.053199286879872e-5
8.600000000000000e0,-1.185980646839407e-2,-1.188655892518760e-2,2.675245679352803e-5
8.650000000000000e0,1.289957768951806e-3,1.252149569892617e-3,3.780819905918869e-5
8.700000000000001e0,1.410561769290349e-2,1.406354259587437e-2,4.207509702911644e-5
8.750000000000000e0,2.586536655730074e-2,2.582610436815986e-2,3.926218914088175e-5
8.800000000000001e0,3.591898312663109e-2,3.588847223560181e-2,3.051089102928256e-5
8.850000000000000e0,4.372808309814372e-2,4.370980205862922e-2,1.828103951449778e-5
8.900000000000000e0,4.889867825250485e-2,4.889264819318998e-2,6.030059314869607e-6
8.950000000000001e0,5.120370723128879e-2,5.120598732031820e-2,-2.280089029402244e-6
9.000000000000000e0,5.059398936538503e-2,5.059677865335512e-2,-2.789287970081378e-6
9.050000000000001e0,4.718714820358908e-2,4.718936501786623e-2,-2.216814277151979e-6
9.100000000000000e0,4.126679303142348e-2,4.127336919480561e-2,-6.576163382128464e-6
9.150000000000000e0,3.327177500024790e-2,3.328099287909089e-2,-9.217878842997240e-6
9.200000000000001e0,2.374558501719455e-2,2.375442166148617e-2,-8.836644291611295e-6
9.250000000000000e0,1.330093621084101e-2,1.330663439539874e-2,-5.698184557728636e-6
9.300000000000001e0,2.577769048672776e-3,2.578933644436964e-3,-1.164595764188096e-6
9.350000000000000e0,-7.798553295367355e-3,-7.801506838576524e-3,2.953543209168602e-6
9.400000000000000e0,-1.725585245851822e-2,-1.726093010848120e-2,5.077649962974967e-6
9.450000000000001e0,-2.530794546172513e-2,-2.531238596777028e-2,4.440506045151615e-6
9.500000000000000e0,-3.157965963018407e-2,-3.158111769657664e-2,1.458066392567847e-6
9.550000000000001e0,-3.582235660851261e-2,-3.582065422478199e-2,-1.702383730622925e-6
9.600000000000001e0,-3.792676964965881e-2,-3.791928905386622e-2,-7.480595792593026e-6
9.650000000000000e0,-3.790938451079114e-2,-3.789565765274304e-2,-1.372685804810342e-5
9.700000000000001e0,-3.590393902807513e-2,-3.588634825141755e-2,-1.759077665757641e-5
9.750000000000000e0,-3.214539344122772e-2,-3.212780033956540e-2,-1.759310166232070e-5
9.800000000000001e0,-2.694750011146618e-2,-2.693374608299488e-2,-1.375402847130641e-5
9.850000000000001e0,-2.067765565878801e-2,-2.067022516148691e-2,-7.430497301102318e-6
9.900000000000000e0,-1.373108339165208e-2,-1.373016067368768e-2,-9.227179643914868e-7
9.950000000000001e0,-6.506200704752087e-3,-6.509267104854669e-3,3.066400102582495e-6
1.000000000000000e1,6.173050123482390e-4,6.152789012362301e-4,2.026111112008941e-6
1.005000000000000e1,7.323234137911071e-3,7.302358590583296e-3,2.087554732777518e-5
1.010000000000000e1,1.331457307231575e-2,1.325972964240328e-2,5.484342991247081e-5
1.015000000000000e1,1.833849785463354e-2,1.825308506849581e-2,8.541278613772782e-5
1.020000000000000e1,2.221970875381894e-2,2.211118322356765e-2,1.085255302512959e-4
1.025000000000000e1,2.484844724757783e-2,2.472689265424967e-2,1.215545933281638e-4
1.030000000000000e1,2.617842966857075e-2,2.605511906886627e-2,1.233105997044785e-4
1.035000000000000e1,2.622234537739588e-2,2.610840712617058e-2,1.139382512252950e-4
1.040000000000000e1,2.504572144779711e-2,2.495099023307391e-2,9.473121472319823e-5
1.045000000000000e1,2.275985340554801e-2,2.269196134851711e-2,6.789205703089732e-5
1.050000000000000e1,1.951433639524643e-2,1.947807689616761e-2,3.625949907882370e-5
1.055000000000000e1,1.548953626762017e-2,1.548651581173615e-2,3.020455884017448e-6
1.060000000000000e1,1.088914893546780e-2,1.091772869919564e-2,-2.857976372784045e-5
1.065000000000000e1,5.932838580410636e-3,5.988356868860783e-3,-5.551828845014751e-5
1.070000000000000e1,8.488431931221183e-4,9.240996723423827e-4,-7.525647922026438e-5
1.075000000000000e1,-4.133598016368423e-3,-4.047626250061810e-3,-8.597176630661257e-5
1.080000000000000e1,-8.792105017537532e-3,-8.705358193318769e-3,-8.674682421876308e-5
1.085000000000000e1,-1.291931836175107e-2,-1.284161674919462e-2,-7.770161255644080e-5
1.090000000000000e1,-1.633123561016335e-2,-1.627118251850052e-2,-6.005309166283446e-5
1.095000000000000e1,-1.887543924988304e-2,-1.883935058800270e-2,-3.608866188033535e-5
1.100000000000000e1,-2.043878379785987e-2,-2.042974061629809e-2,-9.043181561779745e-6
1.105000000000000e1,-2.098709126776106e-2,-2.097111932397222e-2,-1.597194378883879e-5
1.110000000000000e1,-2.047721831550625e-2,-2.044261908193109e-2,-3.459923357515549e-5
1.115000000000000e1,-1.892169093723231e-2,-1.887677581293924e-2,-4.491512429306496e-5
1.120000000000000e1,-1.640568525849711e-2,-1.635986214076925e-2,-4.582311772786604e-5
1.125000000000000e1,-1.306652273742673e-2,-1.302913588531016e-2,-3.738685211657038e-5
1.130000000000000e1,-9.087627734628274e-3,-9.066864128071334e-3,-2.076360655694012e-5
1.135000000000000e1,-4.689275345040681e-3,-4.691240978768427e-3,1.965633727746101e-6
1.140000000000000e1,-1.165394717391206e-4,-1.445949023572931e-4,2.805543061817255e-5
1.145000000000000e1,4.374875492156894e-3,4.320454723196527e-3,5.442076896036707e-5
1.150000000000000e1,8.534007497082153e-3,8.456011404361636e-3,7.799609272051734e-5
1.155000000000000e1,1.213014501575748e-2,1.203405287472282e-2,9.609214103465519e-5
1.160000000000000e1,1.496733473973177e-2,1.486062176532719e-2,1.067129744045815e-4
1.165000000000000e1,1.689678721063114e-2,1.678798884481127e-2,1.087983658198746e-4
1.170000000000000e1,1.782621384586831e-2,1.772385037507346e-2,1.023634707948452e-4
1.175000000000000e1,1.772535413104633e-2,1.763683630385892e-2,8.851782718741555e-5
1.180000000000000e1,1.662724746019813e-2,1.655788917865322e-2,6.935828154491439e-5
1.185000000000000e1,1.462514308168207e-2,1.457739900690658e-2,4.774407477549196e-5
