k,model,larch,diff
3.200000000000000e0,1.791475206324469e-2,1.708921245437348e-2,8.255396088712105e-4
3.250000000000000e0,2.347986619577907e-2,2.332543994108142e-2,1.544262546976510e-4
3.300000000000000e0,2.838156668674029e-2,2.767369495791551e-2,7.078717288247806e-4
3.350000000000000e0,3.103256448487451e-2,2.994275657939049e-2,1.089807905484026e-3
3.400000000000000e0,3.076554690024546e-2,2.989024823516422e-2,8.752986650812401e-4
3.450000000000000e0,2.748304472745677e-2,2.740457688441883e-2,7.846784303793680e-5
3.500000000000000e0,2.327711757253738e-2,2.261174459581147e-2,6.653729767259163e-4
3.550000000000000e0,1.671256792164662e-2,1.579795282183295e-2,9.146150998136648e-4
3.600000000000000e0,7.977102789516898e-3,7.323249415895688e-3,6.538533736212097e-4
3.650000000000000e0,-2.370471253104306e-3,-2.380798998970953e-3,1.032774586664760e-5
3.700000000000000e0,-1.249265715085654e-2,-1.281254498424808e-2,3.198878333915377e-4
3.750000000000000e0,-2.305137632221002e-2,-2.339859823437767e-2,3.472219121676522e-4
3.800000000000000e0,-3.334596028124870e-2,-3.353472147970279e-2,1.887611984540891e-4
3.850000000000000e0,-4.261368573261622e-2,-4.262032967414725e-2,6.643941531034314e-6
3.900000000000000e0,-4.998070863172447e-2,-5.008641634667832e-2,1.057077149538496e-4
3.950000000000000e0,-5.531067338967915e-2,-5.541970665377990e-2,1.090332641007496e-4
4.000000000000000e0,-5.811884856629419e-2,-5.818284346494816e-2,6.399489865397540e-5
4.050000000000000e0,-5.802798461471789e-2,-5.803659160936112e-2,8.606994643230170e-6
4.100000000000001e0,-5.475241926834878e-2,-5.478653800353910e-2,3.411873519031106e-5
4.150000000000000e0,-4.849677003306710e-2,-4.847398543699171e-2,-2.278459607538835e-5
4.200000000000000e0,-3.940903758574368e-2,-3.934649815839190e-2,-6.253942735178625e-5
4.250000000000000e0,-2.783480279646578e-2,-2.782024409440195e-2,-1.455870206382506e-5
4.300000000000000e0,-1.449485448772742e-2,-1.441432204924694e-2,-8.053243848047190e-5
4.350000000000001e0,2.447228060772750e-4,3.265218023979571e-4,-8.179899632068210e-5
4.400000000000000e0,1.573604618611214e-2,1.578191918956779e-2,-4.587300345565773e-5
4.450000000000000e0,3.126372755076821e-2,3.125449153850474e-2,9.236012263470761e-6
4.500000000000000e0,4.600106048923661e-2,4.598155098922993e-2,1.950950000667584e-5
4.550000000000000e0,5.917239738897542e-2,5.917879554031483e-2,-6.398151339410962e-6
4.600000000000001e0,7.009712254133452e-2,7.011813343809929e-2,-2.101089676477541e-5
4.650000000000000e0,7.815141002623074e-2,7.816915293860129e-2,-1.774291237054137e-5
4.700000000000000e0,8.271132133073993e-2,8.281759304920717e-2,-1.062717184672490e-4
4.750000000000000e0,8.353745464336736e-2,8.368420542837066e-2,-1.467507850032995e-4
4.800000000000001e0,8.049221770303266e-2,8.058963229390792e-2,-9.741459087525550e-5
4.850000000000001e0,7.356016201376378e-2,7.358342092383775e-2,-2.325891007397274e-5
4.900000000000000e0,6.289892863829247e-2,6.295556973109265e-2,-5.664109280018037e-5
4.950000000000000e0,4.917065938372108e-2,4.920365892816373e-2,-3.299954444264952e-5
5.000000000000000e0,3.296274719579328e-2,3.296768579203947e-2,-4.938596246187310e-6
5.050000000000001e0,1.496764495084400e-2,1.498984481746126e-2,-2.219986661725765e-5
5.100000000000001e0,-4.020496408920863e-3,-3.929514776377779e-3,-9.098163254308341e-5
5.150000000000000e0,-2.306708491689408e-2,-2.295628888039202e-2,-1.107960365020547e-4
5.200000000000000e0,-4.129003870601811e-2,-4.122508671583548e-2,-6.495199018263786e-5
5.250000000000000e0,-5.786714096211528e-2,-5.786692630852265e-2,-2.146535926297877e-7
5.300000000000001e0,-7.197655048888957e-2,-7.202556967489648e-2,4.901918600691557e-5
5.350000000000001e0,-8.281704981016172e-2,-8.291373033798419e-2,9.668052782246805e-5
5.400000000000000e0,-8.985295321463024e-2,-8.992350683799055e-2,7.055362336030879e-5
5.450000000000000e0,-9.265904430254911e-2,-9.268088631045045e-2,2.184200790134039e-5
5.500000000000000e0,-9.102624864423704e-2,-9.107908727781257e-2,5.283863357552487e-5
5.550000000000001e0,-8.517161260633160e-2,-8.523224567628562e-2,6.063306995401918e-5
5.600000000000001e0,-7.536111353083387e-2,-7.540638119559814e-2,4.526766476427302e-5
5.650000000000000e0,-6.196304722450949e-2,-6.200189369554369e-2,3.884647103419986e-5
5.700000000000000e0,-4.546743352428891e-2,-4.557316986790264e-2,1.057363436137368e-4
5.750000000000000e0,-2.678817172767015e-2,-2.687967771539055e-2,9.150598772040067e-5
5.800000000000001e0,-6.819761695018653e-3,-6.849405836761214e-3,2.964414174256094e-5
5.850000000000001e0,1.346415056336587e-2,1.348432009170464e-2,-2.016952833877247e-5
5.900000000000000e0,3.303332671192397e-2,3.308903116410555e-2,-5.570445218158054e-5
5.950000000000000e0,5.096466205101085e-2,5.102264616099141e-2,-5.798410998055642e-5
6.000000000000000e0,6.641053714943662e-2,6.644019174355857e-2,-2.965459412195004e-5
6.050000000000001e0,7.860839871274450e-2,7.862235679434557e-2,-1.395808160106760e-5
6.100000000000001e0,8.690171624582563e-2,8.699505008224447e-2,-9.333383641883797e-5
6.150000000000000e0,9.095157956570786e-2,9.115787654823546e-2,-2.062969825275957e-4
6.200000000000000e0,9.060111852482100e-2,9.091884418325794e-2,-3.177256584369348e-4
6.250000000000000e0,8.590740760084239e-2,8.630565955985785e-2,-3.982519590154526e-4
6.300000000000001e0,7.713660689392536e-2,7.756464886558304e-2,-4.280419716576750e-4
6.350000000000001e0,6.474900991872820e-2,6.514820479733918e-2,-3.991948786109811e-4
6.400000000000000e0,4.937483439566361e-2,4.969138238178368e-2,-3.165479861200679e-4
6.450000000000000e0,3.178203311449215e-2,3.197887233777263e-2,-1.968392232804886e-4
6.500000000000000e0,1.283777531842578e-2,1.290412019320335e-2,-6.634487477757099e-5
6.550000000000001e0,-6.603313729778812e-3,-6.577220900253045e-3,-2.609282952576678e-5
6.600000000000001e0,-2.553802878659509e-2,-2.549764026540373e-2,-4.038852119136321e-5
6.650000000000000e0,-4.293203784060443e-2,-4.292794882956833e-2,-4.089011036094437e-6
6.700000000000000e0,-5.796111608760502e-2,-5.802370193848817e-2,6.258585088315255e-5
6.750000000000000e0,-6.993011956794722e-2,-7.006731498927628e-2,1.371954213290616e-4
6.800000000000001e0,-7.830493195423731e-2,-7.850324998118982e-2,1.983180269525125e-4
6.850000000000001e0,-8.273595629581884e-2,-8.296445633348552e-2,2.285000376666818e-4
6.900000000000000e0,-8.307214283774553e-2,-8.328877256613433e-2,2.166297283888036e-4
6.950000000000000e0,-7.936502855221324e-2,-7.952454115866209e-2,1.595126064488500e-4
7.000000000000000e0,-7.186276550301263e-2,-7.192526911410060e-2,6.250361108797731e-5
