r,model,larch,diff
2.178252718797611e0,7.334924149456404e0,7.330896104199549e0,4.028045256855073e-3
2.208932334555323e0,7.652223251826014e0,7.647342037861583e0,4.881213964431197e-3
2.239611950313036e0,7.804893587423043e0,7.799580915633002e0,5.312671790040469e-3
2.270291566070749e0,7.785209880935706e0,7.779919120036420e0,5.290760899285374e-3
2.300971181828462e0,7.594933445770266e0,7.590100373557053e0,4.833072213212830e-3
2.331650797586175e0,7.245107643974370e0,7.241104068945938e0,4.003575028431960e-3
2.362330413343888e0,6.755130227399917e0,6.752226580629729e0,2.903646770187507e-3
2.393010029101601e0,6.151197202027369e0,6.149538810225253e0,1.658391802116022e-3
2.423689644859313e0,5.464271386647024e0,5.463871001281782e0,4.003853652418954e-4
2.454369260617026e0,4.727770267087574e0,4.728516833078941e0,-7.465659913670208e-4
2.485048876374739e0,3.975189046262146e0,3.976869996679484e0,-1.680950417338511e-3
2.515728492132452e0,3.237875799433309e0,3.240207673360869e0,-2.331873927560402e-3
2.546408107890165e0,2.543160322795905e0,2.545820338318451e0,-2.660015522546022e-3
2.577087723647877e0,1.913018470622639e0,1.915667395558472e0,-2.648924935833019e-3
2.607767339405590e0,1.363464596969757e0,1.365746689105934e0,-2.282092136176583e-3
2.638446955163303e0,9.050373630151958e-1,9.065281295332590e-1,-1.490766518063236e-3
2.669126570921016e0,5.457090615510858e-1,5.457278491961594e-1,-1.878764507357022e-5
2.699806186678729e0,3.023906070420889e-1,2.995637851445563e-1,2.826821897532528e-3
2.730485802436442e0,2.227060939772711e-1,2.168737554915928e-1,5.832338485678296e-3
2.761165418194155e0,2.736872141613780e-1,2.686193902273983e-1,5.067823933979698e-3
2.791845033951867e0,3.366369970968335e-1,3.329778384071310e-1,3.659158689702458e-3
2.822524649709580e0,3.753305403840774e-1,3.728526645956100e-1,2.477875788467421e-3
2.853204265467293e0,3.888889840319739e-1,3.874305587762821e-1,1.458425255691842e-3
2.883883881225006e0,3.828854471646966e-1,3.823077963355339e-1,5.776508291627791e-4
2.914563496982719e0,3.634906344695017e-1,3.636196885703041e-1,-1.290541008023838e-4
2.945243112740431e0,3.364184482999770e-1,3.370278655756987e-1,-6.094172757217242e-4
2.975922728498144e0,1.150928643550289e-33,1.154059954646660e-33,-3.131311096370903e-36
3.006602344255857e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.037281960013570e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.067961575771283e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.098641191528996e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.129320807286708e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.160000423044421e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.190680038802134e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.221359654559847e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.252039270317560e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.282718886075272e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.313398501832985e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.344078117590698e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.374757733348411e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.405437349106124e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.436116964863837e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.466796580621549e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.497476196379262e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.528155812136975e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.558835427894688e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.589515043652401e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.620194659410114e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.650874275167826e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.681553890925539e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.712233506683252e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.742913122440965e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.773592738198678e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.804272353956391e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.834951969714103e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.865631585471816e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.896311201229529e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.926990816987242e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.957670432744955e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.988350048502667e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.019029664260381e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.049709280018093e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.080388895775806e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.111068511533519e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.141748127291232e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.172427743048944e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.203107358806657e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.233786974564370e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.264466590322083e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.295146206079796e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.325825821837508e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.356505437595222e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.387185053352934e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.417864669110647e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.448544284868360e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.479223900626073e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.509903516383786e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.540583132141498e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.571262747899211e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.601942363656924e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.632621979414637e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.663301595172349e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.693981210930063e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.724660826687775e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.755340442445489e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.786020058203201e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.816699673960914e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.847379289718627e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.878058905476339e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.908738521234052e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.939418136991765e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.970097752749478e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.000777368507190e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.031456984264904e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.062136600022616e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.092816215780330e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.123495831538042e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.154175447295755e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.184855063053468e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.215534678811180e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.246214294568893e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.276893910326606e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.307573526084319e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.338253141842032e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.368932757599745e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.399612373357457e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.430291989115171e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.460971604872883e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.491651220630596e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.522330836388309e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.553010452146022e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.583690067903735e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.614369683661447e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.645049299419160e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.675728915176873e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.706408530934586e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.737088146692298e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.767767762450012e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.798447378207724e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.829126993965438e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.859806609723150e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.890486225480863e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.921165841238576e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
