r,total_model,total_larch,diff,feffcu01dat_00,feff0002dat_01
9.510680884890976e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
9.817477042468105e-1,2.542243449149119e-1,2.553850286629548e-1,-1.160683748042846e-3,2.546230475485776e-1,7.610773404170474e-4
1.012427320004523e0,2.755083154498177e-1,2.773700692573147e-1,-1.861753807496980e-3,2.753705451717899e-1,7.564967008647146e-4
1.043106935762236e0,2.718200170959094e-1,2.742770670542093e-1,-2.457049958299928e-3,2.710599705441559e-1,1.051945232463854e-3
1.073786551519949e0,2.413508247413310e-1,2.441729641743932e-1,-2.822139433062171e-3,2.399598040010968e-1,1.526636037162692e-3
1.104466167277662e0,1.862045107113098e-1,1.889918429470604e-1,-2.787332235750589e-3,1.842703843451671e-1,2.016947753421369e-3
1.135145783035375e0,1.164320471523077e-1,1.182582178363633e-1,-1.826170684055647e-3,1.142376857088846e-1,2.396500851379986e-3
1.165825398793087e0,8.028787835602413e-2,7.837947554052385e-2,1.908402815500282e-3,7.952224653453305e-2,2.561198477040655e-3
1.196505014550800e0,1.458834998122624e-1,1.427294294079115e-1,3.154070404350867e-3,1.466686129876507e-1,2.436931847409803e-3
1.227184630308513e0,2.416340258518146e-1,2.391737196053208e-1,2.460306246493821e-3,2.422569233702266e-1,2.008713336756568e-3
1.257864246066226e0,3.301959151500771e-1,3.286532287453283e-1,1.542686404748805e-3,3.300745362263921e-1,1.419639714659329e-3
1.288543861823939e0,3.969625253709401e-1,3.963912616020737e-1,5.712637688663480e-4,3.958178312679266e-1,1.342504977514542e-3
1.319223477581652e0,4.323050042523111e-1,4.326909889509855e-1,-3.859846986744020e-4,4.300311779237158e-1,2.284371437637158e-3
1.349903093339364e0,4.302505448513049e-1,4.315377812000465e-1,-1.287236348741616e-3,4.268895960722832e-1,3.581674242091660e-3
1.380582709097077e0,3.891514355752985e-1,3.912867674815080e-1,-2.135331906209514e-3,3.848519067800785e-1,4.804607325183962e-3
1.411262324854790e0,3.134358482952010e-1,3.164640346902656e-1,-3.028186395064636e-3,3.083566728906567e-1,5.693724016520688e-3
1.441941940612503e0,2.204568106178220e-1,2.246797428410314e-1,-4.222932223209408e-3,2.146525345987289e-1,6.049078327370621e-3
1.472621556370216e0,1.720601137794315e-1,1.770907230144649e-1,-5.030609235033484e-3,1.666322768157100e-1,5.740071036951002e-3
1.503301172127929e0,2.523275620559153e-1,2.558046366909307e-1,-3.477074635015343e-3,2.491965766774888e-1,4.752613678912488e-3
1.533980787885641e0,4.010082071873586e-1,4.036242613172282e-1,-2.616054129869649e-3,3.985077457200054e-1,3.338608032103160e-3
1.564660403643354e0,5.607626184015391e-1,5.632972728087757e-1,-2.534654407236658e-3,5.580725244395890e-1,2.701625801055573e-3
1.595340019401067e0,7.086127788069128e-1,7.113748343454036e-1,-2.762055538490849e-3,7.057250403076007e-1,4.364776107235646e-3
1.626019635158780e0,8.309883958736622e-1,8.340567946636467e-1,-3.068398789984439e-3,8.282598065417240e-1,7.014641214011373e-3
1.656699250916493e0,9.183729833743484e-1,9.217043406834635e-1,-3.331357309115157e-3,9.162759121426202e-1,9.603104204648950e-3
1.687378866674206e0,9.644205470015487e-1,9.679124703544364e-1,-3.491923352887727e-3,9.633319886411594e-1,1.160178595275163e-2
1.718058482431918e0,9.663596834865588e-1,9.699112280113334e-1,-3.551544524774686e-3,9.663814853692803e-1,1.263510302785693e-2
1.748738098189631e0,9.270990768563681e-1,9.306825241621408e-1,-3.583447305772758e-3,9.279668311368399e-1,1.245975476272712e-2
1.779417713947344e0,8.613920039922542e-1,8.651303088746435e-1,-3.738304882389243e-3,8.625851358326133e-1,1.102324172196283e-2
1.810097329705057e0,8.098336905270428e-1,8.140013083598669e-1,-4.167617832824155e-3,8.111043169244597e-1,8.613446660563332e-3
1.840776945462770e0,8.514207309058260e-1,8.561382465493879e-1,-4.717515643561820e-3,8.537670107539105e-1,6.404427797647592e-3
1.871456561220483e0,1.062439400843307e0,1.067375423365470e0,-4.936022522162853e-3,1.067941581044754e0,7.145113859639811e-3
1.902136176978195e0,1.448940499600680e0,1.453719003110588e0,-4.778503509908383e-3,1.459032842365378e0,1.098557492540346e-2
1.932815792735908e0,1.975512874211428e0,1.979886036342371e0,-4.373162130943520e-3,1.990485415162645e0,1.556996284881085e-2
1.963495408493621e0,2.607667097530894e0,2.611399078447608e0,-3.731980916714228e-3,2.626892239473872e0,1.956395752783418e-2
1.994175024251334e0,3.315525490973454e0,3.318371059790075e0,-2.845568816621569e-3,3.337599908526518e0,2.218108436694547e-2
2.024854640009047e0,4.069102625413249e0,4.070843916057710e0,-1.741290644460491e-3,4.091998224556082e0,2.289562411689793e-2
2.055534255766760e0,4.836031719021469e0,4.836520335316854e0,-4.886162953852136e-4,4.857323071645188e0,2.143293213185475e-2
2.086213871524472e0,5.581609887303037e0,5.580798196562009e0,8.116907410276042e-4,5.598767634811675e0,1.783545748560236e-2
2.116893487282185e0,6.270181425421305e0,6.268138522373226e0,2.042903048079303e-3,6.280896170185195e0,1.266260980824122e-2
2.147573103039898e0,6.867215927210569e0,6.864127140187117e0,3.088787023451722e-3,6.869710832026334e0,8.107218708521354e-3
2.178252718797611e0,7.341646301831127e0,7.337796974752131e0,3.849327078996545e-3,7.334937792952341e0,1.007747364152362e-2
2.208932334555323e0,7.668131610303372e0,7.663877573900280e0,4.254036403092520e-3,7.652203664112673e0,1.705431938104202e-2
2.239611950313036e0,7.828973613126470e0,7.824702295865397e0,4.271317261072660e-3,7.804841167554089e0,2.439335410964542e-2
2.270291566070749e0,7.815476792340628e0,7.811564089002631e0,3.912703337997314e-3,7.785126915505534e0,3.035058920927560e-2
2.300971181828462e0,7.628609659527649e0,7.625378240483578e0,3.231419044070982e-3,7.594823945811537e0,3.396810918649885e-2
2.331650797586175e0,7.278900373627994e0,7.276584927693196e0,2.315445934797822e-3,7.244977025376696e0,3.465604831637650e-2
2.362330413343888e0,6.785577440781107e0,6.784301364735061e0,1.276076046045738e-3,6.754984871075915e0,3.217851013011775e-2
2.393010029101601e0,6.175040116074038e0,6.174806490396769e0,2.336256772696998e-4,6.151043940214707e0,2.670214181904551e-2
2.423689644859313e0,5.478806515701332e0,5.479504053047118e0,-6.975373457862588e-4,5.464116966804938e0,1.894071855154253e-2
2.454369260617026e0,4.731134902965069e0,4.732557220530943e0,-1.422317565873854e-3,4.727620844339853e0,1.112290597446331e-2
2.485048876374739e0,3.966541724753911e0,3.968416095885512e0,-1.874371131601382e-3,3.975049749193471e0,1.136984595806650e-2
2.515728492132452e0,3.217448440487989e0,3.219468385324337e0,-2.019944836347598e-3,3.237750402381570e0,2.054316821137579e-2
2.546408107890165e0,2.512182726038220e0,2.514037462128713e0,-1.854736090492803e-3,2.543051040266573e0,3.095721301860454e-2
2.577087723647877e0,1.873554170888816e0,1.874946591812185e0,-1.392420923369109e-3,1.912925863607464e0,4.030797309324543e-2
2.607767339405590e0,1.318273084612182e0,1.318914615533435e0,-6.415309212530751e-4,1.363387537373110e0,4.778587747576989e-2
2.638446955163303e0,8.578030609234487e-1,8.573622136346003e-1,4.408472888484116e-4,9.049729128012934e-1,5.311735709092457e-2
2.669126570921016e0,5.029728354449277e-1,5.009292718792376e-1,2.043563565690021e-3,5.456519703176348e-1,5.637251422110939e-2
2.699806186678729e0,2.825963374096406e-1,2.783166476653689e-1,4.279689744271731e-3,3.023334367260254e-1,5.778742845830587e-2
2.730485802436442e0,2.516909801625681e-1,2.474268256170372e-1,4.264154545530946e-3,2.226549972406325e-1,5.753628676556148e-2
2.761165418194155e0,3.242363499082984e-1,3.218120248983861e-1,2.424325009912298e-3,2.736521107405641e-1,5.555215452106480e-2
2.791845033951867e0,3.881530744386856e-1,3.868672855809198e-1,1.285788857765813e-3,3.366083326169848e-1,5.160532525294524e-2
2.822524649709580e0,4.187324965931743e-1,4.179776638670318e-1,7.548327261424626e-4,3.753031189393315e-1,4.598810683658439e-2
2.853204265467293e0,4.153659856436323e-1,4.146480962657721e-1,7.178893778601592e-4,3.888608137267207e-1,4.155632767756599e-2
2.883883881225006e0,3.815898738950109e-1,3.804171695780840e-1,1.172704316926898e-3,3.828558443807068e-1,4.642939194585332e-2
2.914563496982719e0,3.218683523270200e-1,3.197292981262581e-1,2.139054200761936e-3,3.634597271639531e-1,6.740048569489548e-2
2.945243112740431e0,2.426369808179773e-1,2.390843214536085e-1,3.552659364368771e-3,3.363870752148639e-1,1.025120876741805e-1
2.975922728498144e0,5.961931143170225e-34,5.786921330970920e-34,1.750098121993046e-35,1.150814612021454e-33,5.557649875011758e-34
3.006602344255857e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.037281960013570e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.067961575771283e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.098641191528996e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.129320807286708e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.160000423044421e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.190680038802134e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.221359654559847e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.252039270317560e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.282718886075272e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
