r,model,larch,diff
1.411262324854790e0,3.134253513320305e-1,3.164640346902656e-1,-3.038683358235150e-3
1.441941940612503e0,2.204589186703170e-1,2.246797428410314e-1,-4.220824170714399e-3
1.472621556370216e0,1.720873091492783e-1,1.770907230144649e-1,-5.003413865186601e-3
1.503301172127929e0,2.523582569169305e-1,2.558046366909307e-1,-3.446379774000197e-3
1.533980787885641e0,4.010291671144047e-1,4.036242613172282e-1,-2.595094202823556e-3
1.564660403643354e0,5.607739175242351e-1,5.632972728087757e-1,-2.523355284540618e-3
1.595340019401067e0,7.086161477598273e-1,7.113748343454036e-1,-2.758686585576320e-3
1.626019635158780e0,8.309864129450849e-1,8.340567946636467e-1,-3.070381718561777e-3
1.656699250916493e0,9.183690383233053e-1,9.217043406834635e-1,-3.335302360158221e-3
1.687378866674206e0,9.644187737618113e-1,9.679124703544364e-1,-3.493696592625106e-3
1.718058482431918e0,9.663650691416107e-1,9.699112280113334e-1,-3.546158869722760e-3
1.748738098189631e0,9.271181015775894e-1,9.306825241621408e-1,-3.564422584551363e-3
1.779417713947344e0,8.614339447385683e-1,8.651303088746435e-1,-3.696364136075214e-3
1.810097329705057e0,8.099102901631877e-1,8.140013083598669e-1,-4.091018196679230e-3
1.840776945462770e0,8.515358395456569e-1,8.561382465493879e-1,-4.602407003730935e-3
1.871456561220483e0,1.062578352469763e0,1.067375423365470e0,-4.797070895706357e-3
1.902136176978195e0,1.449088182010188e0,1.453719003110588e0,-4.630821100400917e-3
1.932815792735908e0,1.975663420641173e0,1.979886036342371e0,-4.222615701198640e-3
1.963495408493621e0,2.607817847253614e0,2.611399078447608e0,-3.581231193994228e-3
1.994175024251334e0,3.315673171081682e0,3.318371059790075e0,-2.697888708393492e-3
2.024854640009047e0,4.069242501238401e0,4.070843916057710e0,-1.601414819308644e-3
2.055534255766760e0,4.836157853074948e0,4.836520335316854e0,-3.624822419068252e-4
2.086213871524472e0,5.581715775455544e0,5.580798196562009e0,9.175788935351648e-4
