k,model,larch,diff
7.000000000000000e0,-6.655875655517272e-2,-6.626371511773414e-2,-2.950414374385812e-4
7.050000000000001e0,-5.496591071740987e-2,-5.464597211380164e-2,-3.199386036082316e-4
7.100000000000001e0,-4.113866972333609e-2,-4.091261535907783e-2,-2.260543642582588e-4
7.150000000000000e0,-2.592553932243334e-2,-2.578621339315133e-2,-1.393259292820116e-4
7.200000000000000e0,-1.007331671433378e-2,-1.000961466334053e-2,-6.370205099324663e-5
7.250000000000000e0,5.687517437487861e-3,5.687694874403858e-3,-1.774369159978154e-7
7.300000000000001e0,2.067117269118107e-2,2.061852607306291e-2,5.264661811816077e-5
7.350000000000001e0,3.425965641530004e-2,3.416169392849584e-2,9.796248680420117e-5
7.400000000000000e0,4.592067845742757e-2,4.578052771482832e-2,1.401507425992446e-4
7.450000000000000e0,5.522079323754230e-2,5.503661933270341e-2,1.841739048388871e-4
7.500000000000000e0,6.183443462971127e-2,6.159947819025628e-2,2.349564394549947e-4
7.550000000000001e0,6.551415911932826e-2,6.525281269187035e-2,2.613464274579119e-4
7.600000000000001e0,6.611916879759901e-2,6.589806180341043e-2,2.211069941885774e-4
7.650000000000000e0,6.370219028920013e-2,6.355572798545993e-2,1.464623037401996e-4
7.700000000000000e0,5.841832233025313e-2,5.836432872040654e-2,5.399360984659207e-5
7.750000000000000e0,5.053672475027609e-2,5.057668810277387e-2,-3.996335249777799e-5
7.800000000000001e0,4.043224124806367e-2,4.055322392412655e-2,-1.209826760628779e-4
7.850000000000001e0,2.857362351925541e-2,2.875166014355713e-2,-1.780366243017174e-4
7.900000000000000e0,1.550793752706153e-2,1.571260818020697e-2,-2.046706531454376e-4
7.950000000000000e0,1.840897669894493e-3,2.040635690074977e-3,-1.997380201804832e-4
8.000000000000000e0,-1.178682741576068e-2,-1.161923358825463e-2,-1.675938275060504e-4
8.050000000000001e0,-2.477744124235375e-2,-2.460916373588093e-2,-1.682775064728130e-4
8.100000000000000e0,-3.646474955003792e-2,-3.628880069227626e-2,-1.759488577616555e-4
8.150000000000000e0,-4.621432971826242e-2,-4.606846109828023e-2,-1.458686199821910e-4
8.200000000000001e0,-5.353180648388021e-2,-5.344319014553962e-2,-8.861633834059135e-5
8.250000000000000e0,-5.804154905372403e-2,-5.802394625834032e-2,-1.760279538370879e-5
8.300000000000001e0,-5.951096756357253e-2,-5.956400130884991e-2,5.303374527738242e-5
8.350000000000000e0,-5.786776159449594e-2,-5.797824662570020e-2,1.104850312042618e-4
8.400000000000000e0,-5.320837858129909e-2,-5.335341712962859e-2,1.450385483294930e-4
8.450000000000001e0,-4.579647798775088e-2,-4.594781832001561e-2,1.513403322647225e-4
8.500000000000000e0,-3.605089262775625e-2,-3.617989765830226e-2,1.290050305460047e-4
8.550000000000001e0,-2.449542140030042e-2,-2.460583248218271e-2,1.104110818822938e-4
8.600000000000000e0,-1.179142645102780e-2,-1.188655892518760e-2,9.513247415979947e-5
8.650000000000000e0,1.315930337808660e-3,1.252149569892617e-3,6.378076791604265e-5
8.700000000000001e0,1.408325395558171e-2,1.406354259587437e-2,1.971135970733721e-5
8.750000000000000e0,2.579438136930435e-2,2.582610436815986e-2,-3.172299885551011e-5
8.800000000000001e0,3.580475379190030e-2,3.588847223560181e-2,-8.371844370150261e-5
8.850000000000000e0,4.358103403932757e-2,4.370980205862922e-2,-1.287680193016519e-4
8.900000000000000e0,4.873311259890372e-2,4.889264819318998e-2,-1.595355942862614e-4
8.950000000000001e0,5.103622517613331e-2,5.120598732031820e-2,-1.697621441848832e-4
9.000000000000000e0,5.044167512365420e-2,5.059677865335512e-2,-1.551035297009187e-4
9.050000000000001e0,4.706581325933743e-2,4.718936501786623e-2,-1.235517585288018e-4
9.100000000000000e0,4.118920692020495e-2,4.127336919480561e-2,-8.416227460066039e-5
9.150000000000000e0,3.324629165899427e-2,3.328099287909089e-2,-3.470122009662652e-5
9.200000000000001e0,2.377533338615513e-2,2.375442166148617e-2,2.091172466896218e-5
9.250000000000000e0,1.338355350427351e-2,1.330663439539874e-2,7.691910887477199e-5
9.300000000000001e0,2.705720080776671e-3,2.578933644436964e-3,1.267864363397068e-4
9.350000000000000e0,-7.637119687560801e-3,-7.801506838576524e-3,1.643871510157227e-4
9.400000000000000e0,-1.707581564732534e-2,-1.726093010848120e-2,1.851144611558567e-4
9.450000000000001e0,-2.512564323060464e-2,-2.531238596777028e-2,1.867427371656377e-4
9.500000000000000e0,-3.141121161678673e-2,-3.158111769657664e-2,1.699060797899013e-4
9.550000000000001e0,-3.568203343590168e-2,-3.582065422478199e-2,1.386207888803073e-4
9.600000000000001e0,-3.782566118380984e-2,-3.791928905386622e-2,9.362787005638001e-5
9.650000000000000e0,-3.785444995457116e-2,-3.789565765274304e-2,4.120769817187592e-5
9.700000000000001e0,-3.589747350754052e-2,-3.588634825141755e-2,-1.112525612297077e-5
9.750000000000000e0,-3.218501630005292e-2,-3.212780033956540e-2,-5.721596048751526e-5
9.800000000000001e0,-2.702662751159450e-2,-2.693374608299488e-2,-9.288142859962059e-5
9.850000000000001e0,-2.078638724986900e-2,-2.067022516148691e-2,-1.161620883820928e-4
9.900000000000000e0,-1.385739079741891e-2,-1.373016067368768e-2,-1.272301237312257e-4
9.950000000000001e0,-6.637277373249952e-3,-6.509267104854669e-3,-1.280102683952830e-4
1.000000000000000e1,4.936848231171158e-4,6.152789012362301e-4,-1.215940781191143e-4
1.005000000000000e1,7.217421338129720e-3,7.302358590583296e-3,-8.493725245357561e-5
1.010000000000000e1,1.323433089197941e-2,1.325972964240328e-2,-2.539875042387521e-5
1.015000000000000e1,1.828822404283918e-2,1.825308506849581e-2,3.513897434337040e-5
1.020000000000000e1,2.220020059895585e-2,2.211118322356765e-2,8.901737538820689e-5
1.025000000000000e1,2.485709459466486e-2,2.472689265424967e-2,1.302019404151866e-4
1.030000000000000e1,2.620977844117689e-2,2.605511906886627e-2,1.546593723106213e-4
1.035000000000000e1,2.626895002243259e-2,2.610840712617058e-2,1.605428962620087e-4
1.040000000000000e1,2.509917553961045e-2,2.495099023307391e-2,1.481853065365413e-4
1.045000000000000e1,2.281187201935193e-2,2.269196134851711e-2,1.199106708348156e-4
1.050000000000000e1,1.955776307510285e-2,1.947807689616761e-2,7.968617893524058e-5
1.055000000000000e1,1.551916104846239e-2,1.548651581173615e-2,3.264523672624059e-5
1.060000000000000e1,1.090224990371691e-2,1.091772869919564e-2,-1.547879547872909e-5
1.065000000000000e1,5.929394518713368e-3,5.988356868860783e-3,-5.896235014741461e-5
1.070000000000000e1,8.314046895525088e-4,9.240996723423827e-4,-9.269498278987383e-5
1.075000000000000e1,-4.160351667207488e-3,-4.047626250061810e-3,-1.127254171456775e-4
1.080000000000000e1,-8.822060259334389e-3,-8.705358193318769e-3,-1.167020660156198e-4
1.085000000000000e1,-1.294578306636182e-2,-1.284161674919462e-2,-1.041663171671946e-4
1.090000000000000e1,-1.634784979569213e-2,-1.627118251850052e-2,-7.666727719161590e-5
1.095000000000000e1,-1.887703110224481e-2,-1.883935058800270e-2,-3.768051424210203e-5
1.100000000000000e1,-2.042207039070586e-2,-2.042974061629809e-2,7.670225592237151e-6
1.105000000000000e1,-2.095100882800139e-2,-2.097111932397222e-2,2.011049597083064e-5
1.110000000000000e1,-2.042331566211704e-2,-2.044261908193109e-2,1.930341981404987e-5
1.115000000000000e1,-1.885397014828080e-2,-1.887677581293924e-2,2.280566465844014e-5
1.120000000000000e1,-1.633020260995468e-2,-1.635986214076925e-2,2.965953081456377e-5
1.125000000000000e1,-1.299074150697805e-2,-1.302913588531016e-2,3.839437833211452e-5
1.130000000000000e1,-9.019599749484580e-3,-9.066864128071334e-3,4.726437858675395e-5
1.135000000000000e1,-4.636744886078795e-3,-4.691240978768427e-3,5.449609268963138e-5
1.140000000000000e1,-8.607068514236574e-5,-1.445949023572931e-4,5.852421721492737e-5
1.145000000000000e1,4.378650433187631e-3,4.320454723196527e-3,5.819570999110457e-5
1.150000000000000e1,8.508936889740215e-3,8.456011404361636e-3,5.292548537857988e-5
1.155000000000000e1,1.207684370574989e-2,1.203405287472282e-2,4.279083102706575e-5
1.160000000000000e1,1.488917825739247e-2,1.486062176532719e-2,2.855649206528164e-5
1.165000000000000e1,1.679961662967659e-2,1.678798884481127e-2,1.162778486532567e-5
1.170000000000000e1,1.771778523913304e-2,1.772385037507346e-2,-6.065135940421656e-6
1.175000000000000e1,1.761459332905562e-2,1.763683630385892e-2,-2.224297480329929e-5
1.180000000000000e1,1.652339045100363e-2,1.655788917865322e-2,-3.449872764958381e-5
1.185000000000000e1,1.453685287764939e-2,1.457739900690658e-2,-4.054612925718550e-5
1.190000000000000e1,1.179984357378773e-2,1.183831677503229e-2,-3.847320124455815e-5
1.195000000000000e1,8.498810360263483e-3,8.525787835432275e-3,-2.697747516879241e-5
1.200000000000000e1,4.848556895887819e-3,4.854116812889405e-3,-5.559917001585375e-6
1.205000000000000e1,1.071112378355088e-3,1.052064474702776e-3,1.904790365231195e-5
1.210000000000000e1,-2.618803672819753e-3,-2.652463426366250e-3,3.365975354649659e-5
1.215000000000000e1,-6.007603114984968e-3,-6.046951107058132e-3,3.934799207316354e-5
1.220000000000000e1,-8.909035519326224e-3,-8.947141658624402e-3,3.810613929817845e-5
1.225000000000000e1,-1.117524115063967e-2,-1.120748348649864e-2,3.224233585897088e-5
1.230000000000000e1,-1.270443388408123e-2,-1.272845816555719e-2,2.402428147596850e-5
1.235000000000000e1,-1.344503028437065e-2,-1.346042014195473e-2,1.538985758407600e-5
1.240000000000000e1,-1.339611574712567e-2,-1.340386655696342e-2,7.750809837749756e-6
1.245000000000000e1,-1.260443235484404e-2,-1.260633406837283e-2,1.901713528795410e-6
1.250000000000000e1,-1.115833453615199e-2,-1.115636598434161e-2,-1.968551810385341e-6
1.255000000000000e1,-9.179366145595282e-3,-9.175187672835865e-3,-4.178472759417198e-6
1.260000000000000e1,-6.812250894167238e-3,-6.806857230623699e-3,-5.393663543538929e-6
1.265000000000000e1,-4.214149319922258e-3,-4.207714771755740e-3,-6.434548166518728e-6
1.270000000000000e1,-1.544019688655700e-3,-1.535937536557823e-3,-8.082152097877229e-6
1.275000000000000e1,1.047165276594715e-3,1.058073841363182e-3,-1.090856476846746e-5
1.280000000000000e1,3.424735581326763e-3,3.439887640553301e-3,-1.515205922653865e-5
1.285000000000000e1,5.476744654977813e-3,5.497393321000198e-3,-2.064866602238466e-5
1.290000000000000e1,7.118260982945508e-3,7.145084565856943e-3,-2.682358291143487e-5
1.295000000000000e1,8.293493642079338e-3,8.326232021603229e-3,-3.273837952389065e-5
1.300000000000000e1,8.975889720894227e-3,9.013074121423440e-3,-3.718440052921310e-5
1.305000000000000e1,9.181908190638056e-3,9.205291975930155e-3,-2.338378529209879e-5
1.310000000000000e1,8.919949851419405e-3,8.927164167346876e-3,-7.214315927470127e-6
1.315000000000000e1,8.227221234582622e-3,8.223804933539193e-3,3.416301043428910e-6
1.320000000000000e1,7.165211047099144e-3,7.156761502240076e-3,8.449544859068236e-6
1.325000000000000e1,5.807837571115253e-3,5.799403831750808e-3,8.433739364445067e-6
1.330000000000000e1,4.236843004265482e-3,4.232447376886653e-3,4.395627378828496e-6
1.335000000000000e1,2.537526910414369e-3,2.539839825621324e-3,-2.312915206955334e-6
1.340000000000000e1,7.949668468309912e-4,8.051485986428118e-4,-1.018175181182054e-5
1.345000000000000e1,-9.092131538452931e-4,-8.915021848384764e-4,-1.771096900681673e-5
1.350000000000000e1,-2.499536796138349e-3,-2.475968066201228e-3,-2.356872993712102e-5
1.355000000000000e1,-3.908890959195502e-3,-3.882164293975624e-3,-2.672666521987867e-5
1.360000000000000e1,-5.080342470884066e-3,-5.053780223639464e-3,-2.656224724460147e-5
1.365000000000000e1,-5.968632387770356e-3,-5.945712562378935e-3,-2.291982539142159e-5
1.370000000000000e1,-6.541398978838766e-3,-6.525273849625062e-3,-1.612512921370362e-5
1.375000000000000e1,-6.780141882527669e-3,-6.773190012935771e-3,-6.951869591898321e-6
1.380000000000000e1,-6.680896321759697e-3,-6.684353071111121e-3,3.456749351423566e-6
1.385000000000000e1,-6.254547047334546e-3,-6.268251719093956e-3,1.370467175941005e-5
1.390000000000000e1,-5.526685103227583e-3,-5.548972335890281e-3,2.228723266269831e-5
1.395000000000000e1,-4.536902759851881e-3,-4.564652509074928e-3,2.774974922304697e-5
1.400000000000000e1,-3.337436348954997e-3,-3.366282087129052e-3,2.884573817405530e-5
