k,model,larch,diff
5.700000000000000e0,-4.565139035033550e-2,-4.557316986790264e-2,-7.822048243286139e-5
5.750000000000000e0,-2.693549558388524e-2,-2.687967771539055e-2,-5.581786849469597e-5
5.800000000000001e0,-6.924580786397150e-3,-6.849405836761214e-3,-7.517494963593663e-5
5.850000000000001e0,1.340570944396559e-2,1.348432009170464e-2,-7.861064773905142e-5
5.900000000000000e0,3.302271164620066e-2,3.308903116410555e-2,-6.631951790489476e-5
5.950000000000000e0,5.100103161424870e-2,5.102264616099141e-2,-2.161454674270286e-5
6.000000000000000e0,6.649093750259169e-2,6.644019174355857e-2,5.074575903311895e-5
6.050000000000001e0,7.872812225203230e-2,7.862235679434557e-2,1.057654576867295e-4
6.100000000000001e0,8.705402471253465e-2,8.699505008224447e-2,5.897463029018446e-5
6.150000000000000e0,9.112847246864915e-2,9.115787654823546e-2,-2.940407958630653e-5
6.200000000000000e0,9.079376449828370e-2,9.091884418325794e-2,-1.250796849742303e-4
6.250000000000000e0,8.610658650199014e-2,8.630565955985785e-2,-1.990730578677047e-4
6.300000000000001e0,7.733315221500463e-2,7.756464886558304e-2,-2.314966505784083e-4
6.350000000000001e0,6.493423029291837e-2,6.514820479733918e-2,-2.139745044208163e-4
6.400000000000000e0,4.954089491322373e-2,4.969138238178368e-2,-1.504874685599525e-4
6.450000000000000e0,3.192227997517436e-2,3.197887233777263e-2,-5.659236259827199e-5
6.500000000000000e0,1.294699084732355e-2,1.290412019320335e-2,4.287065412019765e-5
6.550000000000001e0,-6.528733879497713e-3,-6.577220900253045e-3,4.848702075533132e-5
6.600000000000001e0,-2.550048306834303e-2,-2.549764026540373e-2,-2.842802939301281e-6
6.650000000000000e0,-4.293149085336870e-2,-4.292794882956833e-2,-3.542023800373606e-6
6.700000000000000e0,-5.799585452694300e-2,-5.802370193848817e-2,2.784741154517045e-5
6.750000000000000e0,-6.999691999007289e-2,-7.006731498927628e-2,7.039499920338810e-5
6.800000000000001e0,-7.839929056558634e-2,-7.850324998118982e-2,1.039594156034829e-4
6.850000000000001e0,-8.285236608791799e-2,-8.296445633348552e-2,1.120902455675338e-4
6.900000000000000e0,-8.320440189971347e-2,-8.328877256613433e-2,8.437066642086322e-5
6.950000000000000e0,-7.950656281423828e-2,-7.952454115866209e-2,1.797834442381074e-5
7.000000000000000e0,-7.200694947134614e-2,-7.192526911410060e-2,-8.168035724553935e-5
7.050000000000001e0,-6.102503763339630e-2,-6.093374572850791e-2,-9.129190488839367e-5
7.100000000000001e0,-4.715596459182538e-2,-4.715640700691572e-2,4.424150903403756e-7
7.150000000000000e0,-3.126780651884171e-2,-3.132942550937055e-2,6.161899052883890e-5
7.200000000000000e0,-1.418934672496439e-2,-1.427907649474588e-2,8.972976978149742e-5
7.250000000000000e0,3.210080763651391e-3,3.121734130525496e-3,8.834663312589502e-5
7.300000000000001e0,2.006466333980975e-2,1.999857567972660e-2,6.608766008315420e-5
7.350000000000001e0,3.555500316587334e-2,3.551988516577422e-2,3.511800009911581e-5
7.400000000000000e0,4.894771930743116e-2,4.893837819426151e-2,9.341113169643311e-6
7.450000000000000e0,5.962986030510009e-2,5.962740437407831e-2,2.455931021778934e-6
7.500000000000000e0,6.713653286625769e-2,6.711047149618247e-2,2.606137007521436e-5
7.550000000000001e0,7.113066020473179e-2,7.108254557408521e-2,4.811463064657850e-5
7.600000000000001e0,7.144339741967451e-2,7.142219975837473e-2,2.119766129977940e-5
7.650000000000000e0,6.817403092343455e-2,6.819433118481183e-2,-2.030026137728180e-5
7.700000000000000e0,6.158092831859385e-2,6.164319123625330e-2,-6.226291765944886e-5
7.750000000000000e0,5.208300300287794e-2,5.217621235581463e-2,-9.320935293668370e-5
7.800000000000001e0,4.023426656307132e-2,4.033975560878329e-2,-1.054890457119692e-4
7.850000000000001e0,2.669221962494611e-2,2.678820095319883e-2,-9.598132825272207e-5
7.900000000000000e0,1.218185456218425e-2,1.224811874907342e-2,-6.626418688916898e-5
7.950000000000000e0,-2.542781485649317e-3,-2.520517219241452e-3,-2.226426640786552e-5
8.000000000000000e0,-1.673744412558336e-2,-1.676400091345857e-2,2.655678787521695e-5
8.050000000000001e0,-2.975284207244638e-2,-2.977333293763550e-2,2.049086518912321e-5
8.100000000000000e0,-4.092881576899211e-2,-4.091886099415020e-2,-9.954774841912373e-6
8.150000000000000e0,-4.970032327300279e-2,-4.968110509181467e-2,-1.921818118812146e-5
8.200000000000001e0,-5.569029072637172e-2,-5.567600701799864e-2,-1.428370837307236e-5
8.250000000000000e0,-5.867505736538713e-2,-5.867189565488429e-2,-3.161710502838644e-6
8.300000000000001e0,-5.859134325378006e-2,-5.859796531610711e-2,6.622062327057976e-6
8.350000000000000e0,-5.553474604176671e-2,-5.554400703826384e-2,9.260996497124918e-6
8.400000000000000e0,-4.975009627105304e-2,-4.975159818027985e-2,1.501909226812870e-6
8.450000000000001e0,-4.161441307440090e-2,-4.159742424055457e-2,-1.698883384632782e-5
8.500000000000000e0,-3.161356351209896e-2,-3.156982764134590e-2,-4.373587075305607e-5
8.550000000000001e0,-2.028798317946274e-2,-2.023998357483600e-2,-4.799960462673752e-5
8.600000000000000e0,-8.262483759580845e-3,-8.228727770454299e-3,-3.375598912654619e-5
8.650000000000000e0,3.804782595872548e-3,3.827479727038068e-3,-2.269713116551933e-5
8.700000000000001e0,1.529336048550333e-2,1.530936795006152e-2,-1.600746455819591e-5
8.750000000000000e0,2.563234233265439e-2,2.564617866034529e-2,-1.383632769089496e-5
8.800000000000001e0,3.432831135775812e-2,3.434356122040055e-2,-1.524986264243855e-5
8.850000000000000e0,4.098836962557106e-2,4.100669307998268e-2,-1.832345441162009e-5
8.900000000000000e0,4.533720875567525e-2,4.535758178295143e-2,-2.037302727618540e-5
8.950000000000001e0,4.722752566163847e-2,4.724583343258998e-2,-1.830777095151309e-5
9.000000000000000e0,4.664345600607156e-2,4.665252827378931e-2,-9.072267717749605e-6
9.050000000000001e0,4.368854266701301e-2,4.368722123280012e-2,1.321434212886441e-6
9.100000000000000e0,3.858604939267322e-2,3.857880239993067e-2,7.246992742550307e-6
9.150000000000000e0,3.167485433554155e-2,3.166068225402761e-2,1.417208151394123e-5
9.200000000000001e0,2.337310211657535e-2,2.335012603780156e-2,2.297607877379745e-5
9.250000000000000e0,1.415674438798020e-2,1.412354756874768e-2,3.319681923251092e-5
9.300000000000001e0,4.532798472433556e-3,4.489379393336292e-3,4.341907909726373e-5
9.350000000000000e0,-4.988105949812328e-3,-5.039917047772023e-3,5.181109795969474e-5
9.400000000000000e0,-1.391842741088384e-2,-1.397513594748538e-2,5.670853660153831e-5
9.450000000000001e0,-2.181828518955673e-2,-2.187543016706310e-2,5.714497750637301e-5
9.500000000000000e0,-2.831668758762054e-2,-2.836992789242949e-2,5.324030480895192e-5
9.550000000000001e0,-3.312751108556913e-2,-3.317484174443213e-2,4.733065886300403e-5
9.600000000000001e0,-3.606872493843712e-2,-3.610552971219381e-2,3.680477375668512e-5
9.650000000000000e0,-3.705785995126958e-2,-3.708136689927710e-2,2.350694800751923e-5
